Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Ak1	2088	54.36	585	54.36	132	62.88	1369	53.47
Ak1	2047	54.13	585	54.36	91	61.54	1369	53.47
Ak1	2065	54.04	633	54.50	61	60.66	1369	53.47
Hspa4l	3576	43.76	2517	44.30	64	76.56	993	40.18
Cacna1e	12697	49.18	6822	52.95	0	0.00	5873	44.80
Alyref	1132	52.56	768	60.29	26	76.92	336	33.04
Upf1	4631	57.72	3375	57.72	279	76.70	975	52.31
Upf1	4598	57.92	3342	57.99	279	76.70	975	52.31
Dbn1	3044	57.82	2121	59.08	127	74.02	794	51.89
Dbn1	2909	57.79	1986	59.11	127	74.02	794	51.89
Dbn1	2906	57.78	1983	59.10	127	74.02	794	51.89
Ppid	1728	41.20	1113	42.23	83	61.45	530	35.85
Hsph1	3478	47.35	2577	46.80	238	63.87	661	43.42
Hspg2	14201	60.76	13152	60.86	58	75.86	989	58.44
Grb2	2624	52.32	654	50.61	330	70.91	1638	49.27
Ndufs6	526	52.85	351	54.70	35	62.86	138	45.65
Arhgdia	2732	56.15	615	53.33	120	67.50	1995	56.29
Cdh2	4646	48.45	2721	49.58	654	70.95	1269	34.44
Acyp1	677	42.10	300	50.00	133	59.40	242	22.73
Dnm1	3819	58.18	2595	58.34	119	78.15	1103	55.58
Ppp3ca	4832	45.70	1536	48.57	777	74.00	2517	35.16
Ppp3ca	4862	45.70	1566	48.53	777	74.00	2517	35.16
Gls	4974	46.42	2025	48.54	239	74.06	2708	42.43
Gls	4419	39.67	1812	48.34	239	74.06	2366	29.59
Tax1bp1	3307	41.88	2445	42.78	133	70.68	727	33.56
Dnaja1	5632	41.09	1194	42.63	224	67.86	4212	39.25
Dnaja1	5489	40.35	1194	42.63	81	65.43	4212	39.25
Dnaja1	5583	40.89	1194	42.63	175	69.14	4212	39.25
Dnaja4	3005	49.78	1194	51.59	169	79.29	1640	45.43
Hspd1	2347	45.38	1722	43.90	155	80.00	468	39.32
Hmgb1	2327	39.84	648	46.45	151	60.93	1526	34.86
Kpnb1	5909	47.81	2631	49.30	306	74.18	2970	43.77
Hspa1a	2798	59.86	1926	64.95	230	64.78	640	42.81
Mien1	762	52.89	348	58.05	41	75.61	371	45.55
Dlgap2	4426	54.93	3183	56.58	248	69.76	993	45.82
Dlgap2	4525	55.03	3180	56.67	350	66.29	993	45.82
Syngr1	818	59.78	576	59.72	59	88.14	181	50.83
Syngr1	4192	56.82	705	61.42	59	88.14	3426	55.31
Dlgap1	5306	46.87	2049	56.61	77	57.14	3178	40.37
Dlgap1	3304	48.34	1911	53.90	73	42.47	1318	40.59
Dlgap1	4289	51.34	2805	56.29	164	53.05	1318	40.59
Dlgap1	6323	48.84	2979	57.67	164	53.05	3178	40.37
Stip1	2173	51.91	1632	49.94	137	64.96	402	55.72
Grm2	3338	59.59	2619	60.67	219	67.12	498	50.60
Peg3	6624	49.43	4716	51.25	361	58.73	1545	41.62
