Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Atp8a1	8176	44.63	3495	47.93	220	77.27	4459	40.44
Atp8a1	8176	44.43	3495	47.47	220	77.27	4459	40.44
Atp8a1	8131	44.37	3450	47.36	220	77.27	4459	40.44
Dcc	10325	44.27	4344	50.07	622	57.07	5357	38.08
Itgav	7055	43.54	3135	49.22	337	77.45	3581	35.35
Palmd	2414	46.81	1656	47.83	409	54.03	347	33.43
Atp5h	574	50.17	486	49.18	36	63.89	50	50.00
Ndrg2	2115	52.91	1074	53.07	171	70.18	868	49.31
Ndrg2	2157	53.18	1116	53.58	171	70.18	868	49.31
Ppp1r9b	4345	61.38	2454	63.77	335	62.69	1554	57.27
Lap3	2267	47.64	1560	52.18	85	77.65	620	32.10
Ppap2b	3162	50.19	939	55.38	477	66.25	1744	43.00
Ckb	1478	59.88	1146	59.86	123	69.92	207	54.11
Cd81	1534	51.56	711	52.60	250	65.60	571	43.96
Cd83	2134	49.91	435	60.46	101	79.21	1596	45.11
Cd83	2141	49.93	591	56.35	101	79.21	1447	45.20
Gmfb	4171	39.37	429	44.06	138	67.39	3602	37.76
Cpe	2103	49.69	1431	53.88	90	71.11	580	35.86
Gstm5	911	49.95	675	47.41	99	60.61	135	54.81
Sh3bgrl	2856	35.96	345	43.77	185	58.92	2324	32.96
Pkp4	4642	51.79	3573	52.34	283	74.91	784	40.94
Pkp4	4513	51.78	3444	52.35	283	74.91	784	40.94
Stxbp5	9074	43.63	3351	49.42	356	76.69	5365	37.80
Acot7	1505	56.21	1155	56.88	66	56.06	282	53.19
Acot7	1367	55.74	1053	56.32	30	56.67	282	53.19
Acot7	1494	58.50	1140	58.42	70	80.00	282	53.19
Csrp1	1770	55.03	582	55.67	78	70.51	1108	53.61
Psmc2	1782	48.71	1428	49.72	273	45.42	79	40.51
Psmc5	1277	51.53	1221	51.19	5	60.00	49	57.14
Dbi	593	49.24	408	51.47	4	50.00	179	44.13
Dbi	587	49.57	264	48.11	142	59.86	179	44.13
Cisd1	965	50.16	327	52.60	94	74.47	542	44.46
Pfdn5	708	51.41	465	52.47	72	66.67	169	41.42
Rpl38	387	51.68	213	49.30	114	65.79	58	32.76
Rpl38	313	49.52	213	49.30	40	75.00	58	32.76
Rpl38	370	51.08	213	49.30	97	65.98	58	32.76
Pygb	3860	53.99	2532	54.98	71	64.79	1255	51.39
Cct2	1962	47.15	1608	47.70	105	65.71	247	35.22
Ppt1	2493	44.89	921	49.62	28	53.57	1542	41.89
Foxo1	5552	50.25	1959	58.14	464	75.86	3127	41.48
Syngap1	4023	59.46	4023	59.46	4022	59.45	0	0.00
Tkt	3242	53.73	1872	56.84	142	65.49	1226	47.55
Akr1a1	1435	53.10	978	51.84	341	62.76	114	35.09
Hist1h1a	745	54.50	642	56.54	48	37.50	53	45.28
Hist1h1c	725	62.21	639	63.54	41	51.22	43	51.16
Ndufa6	560	53.04	396	54.04	62	74.19	100	35.00
Ndufa2	602	52.33	300	58.67	66	54.55	234	43.59
Mt2	556	56.83	186	58.60	229	63.32	139	43.88
Kif5b	6030	41.14	2892	43.46	416	69.95	2720	34.26
Ckmt1	1589	54.50	1257	53.86	208	59.13	122	52.46
Pepd	1856	53.99	1482	56.48	30	63.33	342	42.40
Psat1	2295	49.19	1104	50.63	267	59.18	922	44.58
Psat1	2172	48.90	1113	50.58	135	64.44	922	44.58
Tppp3	1040	57.98	531	56.50	148	68.24	359	55.71
Aco2	2785	52.82	2343	54.42	49	46.94	391	43.99
Tubb2a	1638	54.21	1338	57.62	78	60.26	220	30.91
Tjp1	6891	46.51	5058	47.57	407	74.94	1424	34.62
Tjp1	7054	46.87	5238	47.86	407	74.94	1407	35.04
Tfam	3918	43.34	732	45.08	103	65.05	3081	42.16
Ubap2l	4073	50.68	3339	51.69	125	58.40	607	43.49
Ubap2l	4033	50.38	3324	51.74	100	47.00	607	43.49
Ubap2l	3745	50.25	3045	51.00	125	58.40	573	44.68
Ubap2l	3720	49.89	3045	51.00	100	47.00	573	44.68
Ubap2l	3652	50.36	2952	51.15	125	58.40	573	44.68
Ubap2l	3627	49.99	2952	51.15	100	47.00	573	44.68
Ubap2l	4070	50.54	3318	51.39	125	58.40	625	44.48
Ubap2l	3956	50.58	3204	51.47	125	58.40	625	44.48
Prdx6	2334	47.13	675	52.00	49	67.35	1608	44.40
Cbr1	1081	53.93	834	55.16	128	59.38	117	39.32
Tomm34	1940	52.22	930	53.23	129	65.89	879	49.15
Tomm34	2319	55.20	930	53.23	508	69.29	879	49.15
Psmd2	3000	50.63	2727	51.30	64	71.88	207	35.27
Plat	2548	49.69	1680	53.63	109	56.88	757	39.89
Usp9x	11903	40.08	7665	41.59	393	51.40	3843	35.94
Nckap1	4421	44.15	3405	43.29	216	83.33	798	37.22
Nckap1	4403	44.15	3387	43.28	216	83.33	798	37.22
Hibadh	1748	46.00	1008	49.60	51	80.39	687	37.99
Phyh	1474	46.00	1017	48.48	73	61.64	382	36.39
Hmgcs1	3518	43.75	1563	47.09	172	64.53	1781	38.74
Hmgcs1	3577	43.98	1563	47.09	231	62.77	1781	38.74
Apba1	6649	55.15	2529	61.25	286	74.13	3832	49.69
Fus	1845	54.53	1557	55.23	85	71.76	201	41.29
Add1	3917	53.51	2208	52.76	219	75.34	1488	51.48
Add1	4047	53.45	1992	51.26	219	75.34	1834	53.22
Add1	3954	53.46	1899	51.18	219	75.34	1834	53.22
Gstp2	785	52.10	633	55.61	55	52.73	95	28.42
Gstp1	744	54.57	633	55.13	48	60.42	61	44.26
Hp1bp3	4654	47.01	1551	51.39	146	73.29	2955	43.42
Hp1bp3	4891	47.03	1665	51.23	269	60.97	2955	43.42
Hp1bp3	4911	47.34	1665	51.23	289	65.40	2955	43.42
Hp1bp3	4849	47.00	1662	51.26	230	62.61	2955	43.42
Hp1bp3	4615	47.06	1512	51.65	146	73.29	2955	43.42
Hp1bp3	4813	47.04	1626	51.48	230	62.61	2955	43.42
Hp1bp3	4852	46.99	1665	51.23	230	62.61	2955	43.42
Crip1	460	56.74	234	55.13	101	65.35	123	52.85
Ewsr1	2431	52.04	1971	56.42	66	62.12	392	28.57
Ewsr1	2317	51.62	1857	56.17	66	62.12	392	28.57
Ewsr1	3216	44.00	978	55.93	66	62.12	2170	38.06
Ewsr1	2428	52.02	1968	56.40	66	62.12	392	28.57
Ahcyl1	3866	46.64	1593	50.28	270	79.26	2001	39.33
Acat1	3373	45.21	1275	48.94	74	67.57	2022	42.04
Zhx2	4392	52.57	2511	54.80	616	53.41	1263	47.74
Tubb4b	1600	54.94	1338	55.68	111	58.56	149	45.64
Sptb	10417	56.88	6990	56.85	666	67.57	2759	54.33
Tanc2	11864	48.16	5985	50.48	286	75.87	5591	44.25
Fabp7	762	41.08	399	45.61	85	49.41	276	31.88
Glul	2822	49.08	1122	54.10	143	62.24	1555	44.18
Rpl17	775	47.23	555	47.93	79	56.96	139	38.85
Akap12	6262	52.01	5055	54.01	189	61.90	1016	40.16
Tox2	1675	61.61	1569	61.50	13	38.46	91	67.03
Abat	4485	49.72	1335	52.66	190	66.84	2958	47.26
Abat	4653	49.99	1503	53.16	190	66.84	2958	47.26
Spag7	1131	53.14	654	53.82	134	59.70	341	48.97
Spag7	1161	52.89	684	53.36	134	59.70	341	48.97
Got1	2065	52.11	1242	54.11	149	69.80	672	44.49
Htra1	2051	55.83	1443	57.66	68	67.65	538	49.26
Srsf5	1536	43.23	810	47.78	187	55.61	537	32.03
Srsf5	1662	44.65	810	47.78	313	58.15	537	32.03
Srsf5	1532	43.21	810	47.78	183	55.74	537	32.03
Rpl26	564	48.58	438	50.46	63	57.14	61	27.87
Capns1	1461	55.58	807	55.64	57	70.18	595	54.12
Cdkn2d	1271	55.78	501	59.68	259	66.80	509	46.37
Ak3	2776	46.65	684	53.22	72	75.00	2018	43.41
Igfbp2	1342	61.55	918	65.69	99	65.66	323	48.61
Pla2g7	1923	47.32	1323	45.73	369	57.72	229	39.74
Igfbp4	2069	58.63	765	64.18	236	75.00	1066	50.94
Anxa11	2413	54.87	1512	57.01	148	63.51	751	48.74
Actr3	2554	43.97	1257	44.95	206	74.76	1089	37.01
Actr3	2551	43.94	1257	44.95	203	74.88	1089	37.01
Actr3	2746	45.85	1257	44.95	398	72.86	1089	37.01
Actr2	3688	40.51	1185	45.06	98	77.55	2403	36.75
Tpt1	956	46.34	519	46.05	172	75.00	263	27.76
Rpl36a	497	45.88	321	48.29	62	56.45	112	32.14
Rpl8	862	58.24	774	58.66	48	62.50	38	44.74
Mfge8	2032	57.04	1281	56.60	92	63.04	657	57.08
Mfge8	2143	57.12	1392	56.75	92	63.04	657	57.08
Shisa6	7487	50.94	1578	60.90	161	84.47	5746	47.25
Ndufs5	540	49.81	321	52.34	75	69.33	142	33.10
S100b	1676	46.48	279	53.41	130	56.15	1265	43.87
Rps12	535	51.03	399	50.88	90	68.89	44	15.91
Akap6	10263	45.92	6924	49.88	93	43.01	3244	37.55
Rps10	573	55.67	498	56.43	38	73.68	35	25.71
Rps17	489	48.88	408	52.21	29	51.72	50	20.00
Luzp2	5274	39.27	1038	45.18	713	57.50	3521	33.83
Ndufb4	454	49.12	390	51.03	8	50.00	54	33.33
Rps7	961	49.12	585	49.40	106	61.32	268	43.66
Rps3	1879	48.38	732	53.28	87	65.52	1058	43.48
Slc12a2	6520	44.22	3621	49.19	128	72.66	2769	36.37
Aff4	10165	44.75	3483	48.84	366	78.69	6314	40.53
Slc1a2	11571	45.29	1719	51.66	601	71.21	9249	42.42
Slc1a2	10998	43.87	1710	51.64	37	51.35	9249	42.42
Slc1a2	2127	49.65	1677	51.76	37	51.35	411	41.12
Rpl29	710	57.18	483	57.14	108	67.59	117	47.86
Eea1	7836	42.24	4236	44.57	285	78.95	3313	36.07
Myh9	7439	56.93	5883	57.33	237	69.62	1317	52.77
Sparcl1	3132	48.02	1953	50.23	722	51.25	455	33.41
Stx7	2500	45.92	786	47.46	474	67.09	1238	36.75
Gda	5417	42.70	1365	46.96	170	75.29	3880	39.74
Satb2	5299	46.42	2202	54.54	281	51.96	2814	39.52
Pgp	1038	64.35	966	65.01	36	83.33	34	26.47
Grm5	8428	42.87	3516	51.54	717	49.51	4193	34.46
Grm5	8524	42.97	3612	51.55	717	49.51	4193	34.46
